Detector/Descriptor Combination,Average Time Taken To Detect & Extract Keypoints
FAST/BRIEF,2.45833
FAST/ORB,2.61642
FAST/FREAK,2.71986
SHITOMASI/BRIEF,11.3978
SHITOMASI/FREAK,11.707
SHITOMASI/ORB,13.3217
ORB/FREAK,13.5248
ORB/ORB,13.6512
HARRIS/FREAK,14.0504
ORB/BRIEF,15.0035
HARRIS/BRIEF,16.1511
HARRIS/ORB,16.1716
FAST/BRISK,34.4886
SHITOMASI/BRISK,35.9504
BRISK/FREAK,44.2011
ORB/BRISK,46.4763
BRISK/BRIEF,46.5597
BRISK/ORB,48.0698
HARRIS/BRISK,48.7903
AKAZE/FREAK,61.8457
AKAZE/BRIEF,63.2398
AKAZE/ORB,65.2647
AKAZE/AKAZE,69.986
BRISK/BRISK,78.4899
AKAZE/BRISK,91.4262
SIFT/FREAK,98.6971
SIFT/BRIEF,109.523
SIFT/BRISK,133.276
